max_depth,min_samples_split,min_samples_leaf,criterion,Accuracy
5.0,2,1,gini,0.9117647058823529
5.0,2,1,entropy,0.9411764705882353
5.0,2,2,gini,0.8970588235294118
5.0,2,2,entropy,0.9411764705882353
5.0,2,4,gini,0.9117647058823529
5.0,2,4,entropy,0.9411764705882353
5.0,5,1,gini,0.9117647058823529
5.0,5,1,entropy,0.9411764705882353
5.0,5,2,gini,0.8970588235294118
5.0,5,2,entropy,0.9411764705882353
5.0,5,4,gini,0.9117647058823529
5.0,5,4,entropy,0.9558823529411765
5.0,10,1,gini,0.9264705882352942
5.0,10,1,entropy,0.9411764705882353
5.0,10,2,gini,0.9117647058823529
5.0,10,2,entropy,0.9411764705882353
5.0,10,4,gini,0.8970588235294118
5.0,10,4,entropy,0.9558823529411765
10.0,2,1,gini,0.8970588235294118
10.0,2,1,entropy,0.9558823529411765
10.0,2,2,gini,0.9264705882352942
10.0,2,2,entropy,0.9117647058823529
10.0,2,4,gini,0.9117647058823529
10.0,2,4,entropy,0.9411764705882353
10.0,5,1,gini,0.8529411764705882
10.0,5,1,entropy,0.9117647058823529
10.0,5,2,gini,0.9264705882352942
10.0,5,2,entropy,0.9117647058823529
10.0,5,4,gini,0.8970588235294118
10.0,5,4,entropy,0.9411764705882353
10.0,10,1,gini,0.9264705882352942
10.0,10,1,entropy,0.9411764705882353
10.0,10,2,gini,0.9264705882352942
10.0,10,2,entropy,0.9411764705882353
10.0,10,4,gini,0.8970588235294118
10.0,10,4,entropy,0.9558823529411765
15.0,2,1,gini,0.8823529411764706
15.0,2,1,entropy,0.9411764705882353
15.0,2,2,gini,0.9117647058823529
15.0,2,2,entropy,0.9411764705882353
15.0,2,4,gini,0.8970588235294118
15.0,2,4,entropy,0.9411764705882353
15.0,5,1,gini,0.8823529411764706
15.0,5,1,entropy,0.9411764705882353
15.0,5,2,gini,0.8970588235294118
15.0,5,2,entropy,0.8970588235294118
15.0,5,4,gini,0.8970588235294118
15.0,5,4,entropy,0.9411764705882353
15.0,10,1,gini,0.8970588235294118
15.0,10,1,entropy,0.9411764705882353
15.0,10,2,gini,0.9264705882352942
15.0,10,2,entropy,0.9411764705882353
15.0,10,4,gini,0.9117647058823529
15.0,10,4,entropy,0.9411764705882353
20.0,2,1,gini,0.9117647058823529
20.0,2,1,entropy,0.9411764705882353
20.0,2,2,gini,0.8823529411764706
20.0,2,2,entropy,0.9117647058823529
20.0,2,4,gini,0.8970588235294118
20.0,2,4,entropy,0.9558823529411765
20.0,5,1,gini,0.8529411764705882
20.0,5,1,entropy,0.9411764705882353
20.0,5,2,gini,0.9117647058823529
20.0,5,2,entropy,0.9411764705882353
20.0,5,4,gini,0.8970588235294118
20.0,5,4,entropy,0.9411764705882353
20.0,10,1,gini,0.9117647058823529
20.0,10,1,entropy,0.9411764705882353
20.0,10,2,gini,0.9117647058823529
20.0,10,2,entropy,0.9411764705882353
20.0,10,4,gini,0.9117647058823529
20.0,10,4,entropy,0.9558823529411765
,2,1,gini,0.8676470588235294
,2,1,entropy,0.9411764705882353
,2,2,gini,0.8970588235294118
,2,2,entropy,0.9411764705882353
,2,4,gini,0.9117647058823529
,2,4,entropy,0.9411764705882353
,5,1,gini,0.8970588235294118
,5,1,entropy,0.8970588235294118
,5,2,gini,0.9117647058823529
,5,2,entropy,0.9117647058823529
,5,4,gini,0.8970588235294118
,5,4,entropy,0.9558823529411765
,10,1,gini,0.9264705882352942
,10,1,entropy,0.9411764705882353
,10,2,gini,0.9117647058823529
,10,2,entropy,0.9411764705882353
,10,4,gini,0.8970588235294118
,10,4,entropy,0.9558823529411765
