C,Degree,Coef0,Accuracy
1.0,2,0,0.8823529411764706
10.0,2,0,0.9117647058823529
100.0,2,0,0.8823529411764706
0.1,2,0,0.8823529411764706
50.0,2,0,0.9117647058823529
0.01,2,0,0.8088235294117647
1.0,2,1,0.9705882352941176
10.0,2,1,0.9852941176470589
100.0,2,1,0.9558823529411765
0.1,2,1,0.9705882352941176
50.0,2,1,0.9558823529411765
0.01,2,1,0.9705882352941176
1.0,2,10,0.9852941176470589
10.0,2,10,0.9852941176470589
100.0,2,10,0.9852941176470589
0.1,2,10,0.9705882352941176
50.0,2,10,0.9852941176470589
0.01,2,10,0.9705882352941176
1.0,3,0,0.9558823529411765
10.0,3,0,0.9705882352941176
100.0,3,0,0.9852941176470589
0.1,3,0,0.9264705882352942
50.0,3,0,0.9852941176470589
0.01,3,0,0.8382352941176471
1.0,3,1,1.0
10.0,3,1,0.9558823529411765
100.0,3,1,0.9705882352941176
0.1,3,1,0.9852941176470589
50.0,3,1,0.9705882352941176
0.01,3,1,0.9705882352941176
1.0,3,10,0.9705882352941176
10.0,3,10,0.9558823529411765
100.0,3,10,0.9558823529411765
0.1,3,10,0.9852941176470589
50.0,3,10,0.9558823529411765
0.01,3,10,0.9705882352941176
1.0,4,0,0.8823529411764706
10.0,4,0,0.8676470588235294
100.0,4,0,0.8235294117647058
0.1,4,0,0.8382352941176471
50.0,4,0,0.8676470588235294
0.01,4,0,0.8382352941176471
1.0,4,1,0.9852941176470589
10.0,4,1,0.9558823529411765
100.0,4,1,0.9558823529411765
0.1,4,1,0.9852941176470589
50.0,4,1,0.9558823529411765
0.01,4,1,0.9705882352941176
1.0,4,10,0.9558823529411765
10.0,4,10,0.9558823529411765
100.0,4,10,0.9558823529411765
0.1,4,10,0.9558823529411765
50.0,4,10,0.9558823529411765
0.01,4,10,1.0
1.0,5,0,0.9264705882352942
10.0,5,0,0.9558823529411765
100.0,5,0,0.9705882352941176
0.1,5,0,0.8823529411764706
50.0,5,0,0.9558823529411765
0.01,5,0,0.8382352941176471
1.0,5,1,0.9705882352941176
10.0,5,1,0.9411764705882353
100.0,5,1,0.9411764705882353
0.1,5,1,0.9705882352941176
50.0,5,1,0.9411764705882353
0.01,5,1,0.9705882352941176
1.0,5,10,0.9558823529411765
10.0,5,10,0.9558823529411765
100.0,5,10,0.9558823529411765
0.1,5,10,0.9558823529411765
50.0,5,10,0.9558823529411765
0.01,5,10,0.9558823529411765
